Algoritma,Fonksiyon,Calisma Suresi,Iterasyon - 1,Iterasyon - 2,Iterasyon - 3,Iterasyon - 4,Iterasyon - 5,Iterasyon - 6,Iterasyon - 7,Iterasyon - 8,Iterasyon - 9,Iterasyon - 10,Iterasyon - 11,Iterasyon - 12,Iterasyon - 13,Iterasyon - 14,Iterasyon - 15,Iterasyon - 16,Iterasyon - 17,Iterasyon - 18,Iterasyon - 19,Iterasyon - 20,Iterasyon - 21,Iterasyon - 22,Iterasyon - 23,Iterasyon - 24,Iterasyon - 25,Iterasyon - 26,Iterasyon - 27,Iterasyon - 28,Iterasyon - 29,Iterasyon - 30,Iterasyon - 31,Iterasyon - 32,Iterasyon - 33,Iterasyon - 34,Iterasyon - 35,Iterasyon - 36,Iterasyon - 37,Iterasyon - 38,Iterasyon - 39,Iterasyon - 40,Iterasyon - 41,Iterasyon - 42,Iterasyon - 43,Iterasyon - 44,Iterasyon - 45,Iterasyon - 46,Iterasyon - 47,Iterasyon - 48,Iterasyon - 49,Iterasyon - 50
HHO,F1,1.0254061222076416,46693.92200675707,6472.929570409667,157.74332897136514,58.331385203646036,2.7603843760952818,1.1530540263021687,0.2524627987626378,0.08767448347753931,0.030486101072670413,0.011050373028451448,0.00236236046762218,0.0005123379946836304,1.3606247930690116e-05,1.1637402694287198e-05,3.991447784733424e-06,8.60851389278822e-07,6.440433095760167e-07,2.396003552332802e-07,1.7278699449668146e-07,3.3272659846884296e-08,9.08069340265733e-09,9.08069340265733e-09,1.7946739329351477e-09,5.499738965967655e-10,3.119190260312325e-11,4.804076726797503e-13,4.804076726797503e-13,4.804076726797503e-13,4.804076726797503e-13,3.770768874873098e-13,6.090518910245076e-14,5.486250038615822e-14,2.9587276181783568e-15,4.1560585484463815e-16,1.2815397539165524e-16,1.2815397539165524e-16,5.622135005268981e-17,1.0532109027204198e-17,8.043639971083838e-18,7.048732770751631e-18,6.0455382305179214e-18,4.141005738242847e-18,3.402220093573451e-18,2.796859933395706e-18,2.636503886782173e-18,2.1936068884335396e-18,2.011328659535415e-18,1.969735762618221e-18,1.9224477460086678e-18,1.89855026471238e-18
HHO,F2,1.3992030620574951,97199902.45241913,65.96971999838622,5.838704357146234,3.752741655303254,0.7297364031869145,0.4607618825139401,0.38661169790577365,0.08668728856968522,0.03130435735309963,0.024451905113076735,0.009171836128007276,0.003707775279042011,0.0007545425085546606,0.0007545425085546606,0.0004672308887806037,0.0004672308887806037,0.00020243687678927664,0.00011494836267027915,7.854308725211955e-05,7.854308725211955e-05,5.0251207714306696e-05,4.56909101205267e-05,6.625370013784772e-06,6.07757352629769e-06,5.055589581008965e-06,3.8736188042976504e-06,8.47611075143939e-07,6.738628518598918e-07,6.093913057757536e-08,1.1879410138654967e-08,1.1879410138654967e-08,7.0003696384508664e-09,5.5956223066464596e-09,5.297696127476506e-09,5.297696127476506e-09,1.1466220535013287e-09,1.1466220535013287e-09,6.529436577137087e-10,3.356951214950195e-10,2.4716885168967944e-10,2.0780888924792687e-10,1.7901431078840665e-10,1.694237867751648e-10,1.5248258655747815e-10,1.3817731497276672e-10,1.268183821563393e-10,1.2357147611960374e-10,1.2013322908536677e-10,1.1791454871450044e-10,1.1682329066683616e-10
HHO,F3,6.290983200073242,41944.88068353028,9246.331577409484,3890.9979272593755,384.9560173781448,48.447225246247044,7.883742463439477,1.1498298705267314,0.15539783625340806,0.10024479010155112,0.04744717976987569,0.003529258355301026,0.003529258355301026,0.003529258355301026,0.003529258355301026,0.002571474034941242,0.002061071020005414,0.00012853981844491413,2.1453272890540893e-05,1.7691380565848553e-05,1.7691380565848553e-05,1.7691380565848553e-05,8.915697938129363e-07,2.786723652333053e-07,1.4307850076110764e-07,2.19757002307645e-08,2.19757002307645e-08,1.3708448803232316e-08,5.6083709161835625e-09,4.0146015109837004e-10,4.0146015109837004e-10,2.9733398929588608e-12,2.9733398929588608e-12,2.9025126426166774e-12,2.8695992105756053e-12,1.0033910108995954e-13,1.0033910108995954e-13,1.0033910108995954e-13,1.0015841622786211e-13,1.0015841622786211e-13,1.0003631892466161e-13,1.0001455696901015e-13,9.97665963780893e-14,9.949477210807292e-14,9.932712862195191e-14,9.884158344859128e-14,9.867158932634314e-14,9.855023039776729e-14,9.843827405519862e-14,9.838550115192019e-14,9.82455253412754e-14
HHO,F4,1.0813767910003662,81.7381335547209,40.223566938781936,6.401869402668735,2.629295818374583,0.8582209726306518,0.21314662416030483,0.020024749332218206,0.013135379969494222,0.010746697581138734,0.0060795616857901875,0.0018452339132609893,0.0008582338153871816,0.0008582338153871816,0.000566436591632266,0.00048318391721279957,0.0002849728885459851,0.00019009415752187394,0.0001488792952065013,6.83840375377077e-05,6.525143434512821e-05,4.5115858681460494e-05,1.808273939210724e-05,9.758051441966225e-06,3.444747611954477e-06,1.479239848596308e-06,4.873619807229115e-07,1.8735914235910228e-07,1.444993126218297e-08,1.444993126218297e-08,1.3609742520637461e-08,9.995606278201785e-09,7.804548733439633e-09,6.693005916758449e-09,2.306867345101619e-09,2.306867345101619e-09,1.667595868041127e-09,1.667595868041127e-09,1.5119793083663504e-09,1.392363378172893e-09,2.726456277086436e-10,9.672780481763324e-11,6.461826103092513e-11,4.143340503311752e-11,3.998140377527053e-11,3.978729953444161e-11,3.918759691351924e-11,3.8535103214267264e-11,3.845413949600965e-11,3.842652996293041e-11,3.842374487375242e-11
HHO,F5,1.379194736480713,173738132.0427019,5174122.084741873,6427.209969588355,640.6551156876927,94.94829817270336,35.18703095525291,30.166302646012763,1.8026910386350474,1.452949796924259,1.4493548728564716,1.2547673770528112,1.1913272786812499,1.1913272786812499,1.1110824864287492,0.8684294261241345,0.481297619949913,0.41413254501676816,0.011789196194251965,0.011789196194251965,0.011047031164328248,0.010773227185862213,0.010018818317284014,0.009630610965824536,0.009630610965824536,0.0091376664790146,0.006066372334810604,0.004769577414417961,0.004414632999814171,0.004386772758087415,0.004314902305235324,0.003961202182205749,0.003757203924764513,0.0035323673734752124,0.0034282795111092623,0.003024577226771659,0.0029881258101413653,0.002922069548159536,0.002898109152965473,0.0028840272894386375,0.002877152826170083,0.002869469211852978,0.0028634723279477013,0.0028469710730671563,0.0028388549288414244,0.002830444064619291,0.0028170074755743866,0.002807615897302465,0.0028018608171957835,0.0027952485864629266,0.0027920048884182225
HHO,F6,1.1543257236480713,57339.238435917185,8937.401695017155,197.45222650985352,28.021122248452937,4.757145804020093,0.8610178501731589,0.6997010928018547,0.27754663662667733,0.0851864288695707,0.06306437601212055,0.06134246144904523,0.0238484294461631,0.0026146620056550197,0.0022536766372162884,0.0015427840259315871,0.001474561431047963,0.0012137128946344475,0.001203258312051044,0.0007778716906068949,0.000666183472712561,0.0005751353504630391,0.0005229377604136417,0.0003617833399091387,0.00025575501307096356,0.00022760835752647088,0.00014961764360349233,0.00011705079714734756,7.915996936555853e-05,6.0867875663034384e-05,5.9641741686675645e-05,4.54269705513282e-05,4.222061055989786e-05,3.793997650459772e-05,3.7174413100745336e-05,2.900983268716117e-05,2.7084262055743787e-05,2.5993118917412616e-05,2.167426735433424e-05,1.765985252008462e-05,1.369163823275578e-05,9.932023006463367e-06,6.2528033176002615e-06,4.656510378628903e-06,3.6028889183545007e-06,2.533965840149897e-06,1.668455404412975e-06,1.2443836341412313e-06,1.1505118583373604e-06,1.1414661734489425e-06,1.1356653655753476e-06
HHO,F7,1.6380484104156494,77.09050258018384,2.47495801937102,0.02922791524275175,0.019735986150868655,0.0069137962040754985,0.00407601054121036,0.0007466512647340505,0.0007466512647340505,0.0007466512647340505,0.0007466512647340505,0.0007466512647340505,0.0007466512647340505,0.0007466512647340505,0.0007466512647340505,0.0007466512647340505,0.0007466512647340505,0.0007466512647340505,0.0007466512647340505,0.0007466512647340505,0.0007466512647340505,0.0005029111085263144,0.0005029111085263144,0.0005029111085263144,0.0005029111085263144,0.0005029111085263144,0.0005029111085263144,0.0005029111085263144,0.0005029111085263144,0.0005029111085263144,4.2943427189367693e-05,4.2943427189367693e-05,4.2943427189367693e-05,4.2943427189367693e-05,4.2943427189367693e-05,4.2943427189367693e-05,4.2943427189367693e-05,4.2943427189367693e-05,4.2943427189367693e-05,4.2943427189367693e-05,4.2943427189367693e-05,2.478577856922789e-05,2.478577856922789e-05,2.478577856922789e-05,2.478577856922789e-05,2.478577856922789e-05,2.478577856922789e-05,2.478577856922789e-05,2.478577856922789e-05,2.478577856922789e-05,2.478577856922789e-05
HHO,F8,1.2582762241363525,-2973.8772979437845,-3796.927514954436,-5139.261687588778,-8008.063193859009,-12044.2631780385,-12251.980298331908,-12312.060072087206,-12540.014624353069,-12540.28042264213,-12542.268632850722,-12552.038979287767,-12568.538429027845,-12568.77680674772,-12568.806047653432,-12568.808135972617,-12568.812933336334,-12568.812933336334,-12568.813704454042,-12568.860128821689,-12569.39453836099,-12569.441772798029,-12569.465636296703,-12569.466393912862,-12569.466798401983,-12569.466798401983,-12569.466830259678,-12569.466830259678,-12569.466830259678,-12569.466832819111,-12569.466832819111,-12569.466833501454,-12569.466833501454,-12569.4668344759,-12569.4668344759,-12569.466834524786,-12569.466834530676,-12569.466834538765,-12569.466834538765,-12569.466834538867,-12569.466834539015,-12569.466834539016,-12569.466834546518,-12569.466834555802,-12569.466834627225,-12569.466834649449,-12569.46683472439,-12569.466834743238,-12569.466834757586,-12569.466834786548,-12569.46683480055
HHO,F9,1.1503262519836426,398.14645772137953,283.5657962877972,90.02837087891174,7.199130866089035,0.441989126945316,0.2965480988041236,0.017945602574741315,0.0005779418103770695,0.0005779418103770695,7.395204346494211e-05,5.129345288423792e-05,3.7931692475012824e-05,3.490135327410826e-06,3.39255058179333e-06,8.38100731925806e-07,6.409607067325851e-08,6.409607067325851e-08,9.762970876181498e-09,9.762970876181498e-09,3.384229785297066e-09,1.2020109352306463e-09,7.12361725163646e-10,7.12361725163646e-10,4.276330400898587e-10,1.368789526168257e-10,3.200284481863491e-11,5.4569682106375694e-12,9.663381206337363e-13,1.1368683772161603e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHO,F10,1.8309330940246582,20.468666197111762,13.813270266780162,5.594119248574451,4.07654023203429,1.293611434187444,0.24121123453086613,0.039904613870060945,0.0362632984150264,0.005343209994699283,0.0029849766629372887,0.0021804428835854317,0.0011478098612731635,0.0010731028122354935,0.0005556697822268752,0.0005556697822268752,0.00013466172331577653,1.408097651678375e-05,1.408097651678375e-05,1.408097651678375e-05,1.408097651678375e-05,2.9043119345040225e-06,1.6512912712762784e-06,6.847659688169472e-07,2.6463902758067093e-07,4.755146365553742e-08,4.755146365553742e-08,4.755146365553742e-08,3.966839345892481e-08,1.11142424152888e-08,1.0165287722685434e-08,4.565400946177078e-09,1.608861044388732e-09,5.873848074600119e-10,5.229421340402496e-10,3.676423609988433e-10,2.670614840383223e-10,2.670614840383223e-10,2.2836177393514845e-10,4.835687406057332e-12,4.835687406057332e-12,4.835687406057332e-12,4.590550162220097e-12,4.128697383976032e-12,4.100275674545628e-12,3.7343461656291765e-12,3.681055460447169e-12,3.4003910798219295e-12,2.871036741680655e-12,2.7040591987770313e-12,2.6827429167042283e-12
